                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1093,                 4.1705,                 4.1817,                0.00399,                0.57771,                0.00746,                0.00238,                 2.7459,                 4.1712,                  3.989,               0.070319,              0.0032979,              0.0032979
                      1,                 3.0728,                 3.8374,                 3.9151,                0.07548,                0.11418,                0.03129,                0.00896,                 2.6933,                  3.909,                 3.8176,               0.039991,               0.006303,               0.006303
                      2,                 2.9619,                 3.3086,                 3.5949,                0.11207,                0.15506,                0.06488,                0.01862,                 2.5961,                 4.2123,                 3.4526,              0.0093327,               0.008978,               0.008978
                      3,                  2.642,                 3.0308,                 3.1985,                0.12562,                0.17005,                0.07062,                0.02553,                 2.2598,                 3.3711,                 3.0798,               0.008515,               0.008515,               0.008515
                      4,                 2.2595,                 2.7933,                 2.8749,                0.27519,                0.36282,                0.21685,                0.08211,                 2.0557,                 2.9999,                 2.8045,               0.008515,               0.008515,               0.008515
                      5,                 2.0288,                 2.5663,                 2.6191,                0.36836,                0.35761,                0.28158,                0.11849,                 1.9688,                 2.6186,                 2.6349,                0.00802,                0.00802,                0.00802
                      6,                 1.8222,                 2.3446,                 2.3899,                0.40933,                0.51383,                0.44204,                0.23123,                 1.5851,                 2.2797,                 2.2235,               0.007525,               0.007525,               0.007525
                      7,                  1.648,                 2.1591,                 2.2226,                0.49106,                0.52201,                0.47684,                0.26518,                 1.5017,                 2.0318,                 2.1534,                0.00703,                0.00703,                0.00703
                      8,                 1.5659,                  2.049,                 2.1357,                0.56388,                0.52292,                0.53027,                 0.3074,                 1.4628,                 1.9289,                 2.0896,               0.006535,               0.006535,               0.006535
                      9,                 1.4862,                 1.9182,                 2.0508,                0.63272,                0.57033,                0.63108,                0.36878,                 1.4134,                 1.7806,                 2.0286,                0.00604,                0.00604,                0.00604
                     10,                  1.374,                 1.8254,                  1.997,                0.56282,                 0.5483,                0.58083,                0.34876,                 1.4018,                 1.8155,                 1.9836,               0.005545,               0.005545,               0.005545
                     11,                 1.3263,                  1.721,                 1.9295,                0.64229,                0.61187,                0.65484,                0.42181,                 1.2732,                 1.6521,                 1.8494,                0.00505,                0.00505,                0.00505
                     12,                 1.2894,                 1.6241,                 1.8889,                0.71203,                0.64699,                0.72479,                0.48134,                 1.2089,                 1.4449,                 1.7838,               0.004555,               0.004555,               0.004555
                     13,                 1.2468,                 1.5139,                 1.8357,                0.72495,                0.66677,                0.75101,                0.50889,                 1.1767,                 1.3809,                 1.7371,                0.00406,                0.00406,                0.00406
                     14,                  1.195,                 1.4531,                  1.781,                0.75847,                 0.7035,                0.78529,                0.54237,                 1.1418,                 1.3192,                 1.7111,               0.003565,               0.003565,               0.003565
                     15,                 1.1501,                 1.3646,                 1.7346,                0.80544,                0.70039,                0.80107,                0.55679,                 1.1242,                 1.2478,                 1.7028,                0.00307,                0.00307,                0.00307
                     16,                  1.154,                 1.3548,                 1.7321,                 0.8156,                0.73209,                0.82582,                0.58335,                 1.0888,                 1.1862,                 1.6424,               0.002575,               0.002575,               0.002575
                     17,                 1.1068,                 1.2758,                 1.6847,                0.81868,                0.75084,                0.84349,                0.60766,                 1.0482,                   1.16,                 1.6119,                0.00208,                0.00208,                0.00208
                     18,                 1.0837,                  1.232,                 1.6551,                 0.8472,                0.76364,                0.86282,                0.63619,                0.99411,                 1.0806,                 1.5578,               0.001585,               0.001585,               0.001585
                     19,                  1.054,                 1.1894,                 1.6201,                0.85168,                0.77006,                0.86818,                0.63933,                 1.0041,                 1.0662,                 1.5503,                0.00109,                0.00109,                0.00109
